Tree	Portfolio	Asset Category	Investment Category	Investment Type	Investment Object Identifier	Investment Object Name	Currency	Nominal/Quantity*	Nominal/Quantity	Value	Eco Exp	Mat Date	Rating Standard & Poors	Rating Moodys	Clean Price*	Clean Price	Underlying	Underlying Quantity*	Underlying Quantity	Option Feature
5000600, Special Agreement, 6.875 BRISA CR 12/18	5000600	Bonds	Bonds	Agency Bonds	PTBSSGOE0009	6.875 BRISA CR 12/18	EUR	EUR	1'300'000.0000	1'315'796	1'308'450	02.04.2018		Ba2	%	100.6500		EUR	1'300'000.0000	
5000600, Special Agreement, 9.675 HSBC ISP/SAN/UCG 12	5000600	Equities	Hybrids	GOAL	XS0831351829	9.675 HSBC ISP/SAN/UCG 12	EUR	EUR	3'000'000.0000	2'985'630	2'852'400	20.12.2012			%	95.0800		EUR	3'000'000.0000	
5000600, Special Agreement, ABB N	5000600	Equities	Stocks	Ordinary Stocks	CH0012221716	ABB N	CHF		82'000.0000	1'160'716	1'160'716				CHF	17.0800			82'000.0000	
5000600, Special Agreement, ADECCO N	5000600	Equities	Stocks	Ordinary Stocks	CH0012138605	ADECCO N	CHF		21'000.0000	795'005	795'005				CHF	45.6800			21'000.0000	
5000600, Special Agreement, CA EUROSTOXX 50 24.12.2012 EUR 2'550	5000600	Equities	Options	Index Options	OESX C 2550 DEC12	CA EUROSTOXX 50 24.12.2012 EUR 2'550	EUR		-350.0000	-213'150	-4'399'243	24.12.2012			EUR	60.9000	ESTX 50 EURP		-3'500.0000	Call Option
5000600, Special Agreement, CB-ACCENT FAR EAST	5000600	Equities	Funds	Stock Funds	LU0681567425	CB-ACCENT FAR EAST	EUR		33'000.0000	3'370'554	3'370'554				EUR	102.1380			33'000.0000	
5000600, Special Agreement, DEUTSCHE BOERSE	5000600	Equities	Stocks	Ordinary Stocks	DE0005810055	DEUTSCHE BOERSE	EUR		30'000.0000	1'241'250	1'241'250				EUR	41.3750			30'000.0000	
5000600, Special Agreement, FESX DEC 12	5000600	Equities	Futures	Index Futures		FESX DEC 12	EUR		650.0000	0	16'490'500				EUR	2'537.0000	ESTX 50 EURP		650.0000	
5000600, Special Agreement, FS CHF/EUR 20.12.12 1.20986	5000600	Money Market	Forwards	Currency Forwards		FS CHF/EUR 20.12.12 1.20986	CHF	CHF	-4'700'000.0000	-10'219	0	20.12.2012			EUR	0.0022	Swiss Franc	CHF	-4'700'000.0000	
5000600, Special Agreement, GOLD BULLION USD	5000600	Preciuos metals & Commodities	Hybrids	Index Certificates	GB00B00FHZ82	GOLD BULLION USD	USD		25'000.0000	3'199'750	3'199'750				EUR	127.9900			25'000.0000	
5000600, Special Agreement, JB MULTIBOND LOCAL EM BD FD C	5000600	Bonds	Funds	Bond Funds	LU0256065409	JB MULTIBOND LOCAL EM BD FD C	EUR		6'600.0000	1'636'404	1'636'404				EUR	247.9400			6'600.0000	
5000600, Special Agreement, PICTET-ELCDR-I EUR	5000600	Bonds	Funds	Bond Funds	LU0280437160	PICTET-ELCDR-I EUR	EUR		10'400.0000	1'634'776	1'634'776				EUR	157.1900			10'400.0000	
5000600, Special Agreement, SIEMENS R	5000600	Equities	Stocks	Ordinary Stocks	DE0007236101	SIEMENS R	EUR		21'000.0000	1'646'400	1'646'400				EUR	78.4000			21'000.0000	
5000600, Special Agreement, STATOIL	5000600	Equities	Stocks	Ordinary Stocks	NO0010096985	STATOIL	NOK		86'000.0000	1'651'709	1'651'709				NOK	141.2000			86'000.0000	
5000600, Special Agreement, UBS REG	5000600	Equities	Stocks	Ordinary Stocks	CH0024899483	UBS REG	CHF		83'000.0000	990'524	990'524				CHF	14.4000			83'000.0000	
5000600, Special Agreement, UBS(LUX) ASIA HIGH Y P-USD	5000600	Bonds	Funds	Bond Funds	LU0626906662	UBS(LUX) ASIA HIGH Y P-USD	USD		19'000.0000	1'635'789	1'635'789				USD	111.3800			19'000.0000	
5000600, Special Agreement, WORL INV ABS EM	5000600	Alternatives	Funds	Hedge Funds	LU0435115307	WORL INV ABS EM	EUR		21'000.0000	2'567'460	2'567'460				EUR	122.2600			21'000.0000	
5000600, Special Agreement, WORLD INV ABS RET	5000600	Alternatives	Funds	Hedge Funds	LU0028583804	WORLD INV ABS RET	EUR		20'000.0000	4'987'400	4'987'400				EUR	249.3700			20'000.0000	
5000600, Special Agreement, ZURICH FINL SERV N	5000600	Equities	Stocks	Ordinary Stocks	CH0011075394	ZURICH FINL SERV N	CHF		4'200.0000	801'966	801'966				CHF	230.4000			4'200.0000	
